# 출처: 국토교통부 실거래가 공개시스템(rt.molit.go.kr) 아파트 전월세 실거래 2026.03~05 전국, 원본 238,658건 집계
# 시도·시군구·전월세·전용면적대별 보증금/월세 중위값. 면적대 평은 전용면적 ㎡ 환산.
시도,시군구,전월세,전용면적대,거래건수,보증금중위(만원),월세중위(만원),건축년도중위
경기도,성남시 중원구,전세,85~135㎡(26~40평),21,70000,0,2012
경기도,수원시 권선구,월세,135㎡이상(40평~),3,15000,160,1998
경기도,수원시 권선구,월세,40~60㎡(12~18평),496,7915,32,2023
경기도,수원시 권선구,월세,40㎡미만(~12평),252,4300,16,2023
경기도,수원시 권선구,월세,60~85㎡(18~26평),855,9790,58,2018
경기도,수원시 권선구,월세,85~135㎡(26~40평),43,14380,76,2018
경기도,수원시 권선구,전세,135㎡이상(40평~),7,65000,0,2011
경기도,수원시 권선구,전세,40~60㎡(12~18평),315,25800,0,1999
경기도,수원시 권선구,전세,40㎡미만(~12평),27,20700,0,2016
경기도,수원시 권선구,전세,60~85㎡(18~26평),434,35000,0,2011
경기도,수원시 권선구,전세,85~135㎡(26~40평),82,40500,0,2001
경기도,수원시 영통구,월세,135㎡이상(40평~),9,10000,147,2001
경기도,수원시 영통구,월세,40~60㎡(12~18평),412,3000,90,1997
경기도,수원시 영통구,월세,40㎡미만(~12평),152,4772,20,2018
경기도,수원시 영통구,월세,60~85㎡(18~26평),224,12000,130,2011
경기도,수원시 영통구,월세,85~135㎡(26~40평),96,20000,185,2012
경기도,수원시 영통구,전세,135㎡이상(40평~),18,65000,0,2010
경기도,수원시 영통구,전세,40~60㎡(12~18평),649,28350,0,1997
경기도,수원시 영통구,전세,40㎡미만(~12평),26,18000,0,1989
경기도,수원시 영통구,전세,60~85㎡(18~26평),436,49000,0,2011
경기도,수원시 영통구,전세,85~135㎡(26~40평),199,70000,0,2012
경기도,수원시 장안구,월세,135㎡이상(40평~),2,5500,180,1999
경기도,수원시 장안구,월세,40~60㎡(12~18평),209,5000,75,2000
경기도,수원시 장안구,월세,40㎡미만(~12평),31,2000,47,2023
경기도,수원시 장안구,월세,60~85㎡(18~26평),117,5000,105,2001
경기도,수원시 장안구,월세,85~135㎡(26~40평),20,7500,150,2009
경기도,수원시 장안구,전세,135㎡이상(40평~),8,44000,0,2002
경기도,수원시 장안구,전세,40~60㎡(12~18평),350,29400,0,2000
경기도,수원시 장안구,전세,40㎡미만(~12평),88,22500,0,2024
경기도,수원시 장안구,전세,60~85㎡(18~26평),287,40000,0,2012
경기도,수원시 장안구,전세,85~135㎡(26~40평),78,50725,0,2010
경기도,수원시 팔달구,월세,135㎡이상(40평~),2,5000,325,2014
경기도,수원시 팔달구,월세,40~60㎡(12~18평),140,5000,90,2000
경기도,수원시 팔달구,월세,40㎡미만(~12평),169,1000,52,2017
경기도,수원시 팔달구,월세,60~85㎡(18~26평),266,15000,52,2022
경기도,수원시 팔달구,월세,85~135㎡(26~40평),13,20000,145,2004
경기도,수원시 팔달구,전세,135㎡이상(40평~),10,55000,0,2025
경기도,수원시 팔달구,전세,40~60㎡(12~18평),278,29400,0,1999
경기도,수원시 팔달구,전세,40㎡미만(~12평),105,20200,0,2023
경기도,수원시 팔달구,전세,60~85㎡(18~26평),248,42000,0,2021
경기도,수원시 팔달구,전세,85~135㎡(26~40평),48,50000,0,2009
